  PID TTY      STAT   TIME COMMAND
 1582 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
 1586 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-daemon
 1599 ?        Sl     0:02 /usr/lib/gnome-online-accounts/goa-identity-service
 1604 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 1608 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
 1613 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
 1620 tty2     Sl+    0:13 /usr/lib/gnome-settings-daemon/gsd-power
 1621 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
 1622 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
 1624 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
 1630 tty2     Sl+    8:09 /usr/lib/gnome-settings-daemon/gsd-sharing
 1634 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
 1643 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sound
 1646 tty2     Sl+    0:01 /usr/lib/gnome-settings-daemon/gsd-wacom
 1649 tty2     Sl+    0:04 /usr/lib/gnome-settings-daemon/gsd-xsettings
 1653 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
 1658 tty2     Sl+    0:02 /usr/lib/gnome-settings-daemon/gsd-clipboard
 1663 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
 1664 tty2     Sl+    1:40 /usr/lib/gnome-settings-daemon/gsd-housekeeping
 1665 tty2     Sl+   40:43 /usr/lib/gnome-settings-daemon/gsd-color
 1669 tty2     Sl+    0:03 /usr/lib/gnome-settings-daemon/gsd-media-keys
 1670 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
 1672 tty2     Sl+    0:01 /usr/lib/gnome-settings-daemon/gsd-keyboard
 1708 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-printer
 1710 tty2     Sl+    0:01 /usr/lib/gnome-disk-utility/gsd-disk-utility-notify
 1715 tty2     Sl+    0:53 nautilus-desktop
 1743 ?        Ssl    0:00 /usr/lib/evolution/evolution-calendar-factory
 1749 ?        Sl     0:18 /usr/lib/gvfs/gvfsd-trash --spawner :1.24 /org/gtk/gvfs/exec_spaw/0
 1756 tty2     Sl     0:07 /usr/lib/ibus/ibus-engine-simple
 1780 ?        Sl     0:02 /usr/lib/dconf/dconf-service
 1788 ?        Sl     0:03 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1743x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1743/2
 1800 ?        Ssl    0:00 /usr/lib/evolution/evolution-addressbook-factory
 1813 ?        Sl     0:01 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx1800x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/1800/2
 1829 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd-metadata
 1882 ?        Sl    10:16 sogou-qimpanel
 2210 tty2     SLl+  11:16 /usr/bin/gnome-software --gapplication-service
 2212 tty2     Sl+    0:43 update-notifier
 2230 ?        Ssl    1:09 /usr/lib/fwupd/fwupd
 2353 ?        Ss     0:02 /lib/systemd/systemd-udevd
 2794 ?        Sl     0:26 /usr/bin/flameshot
 2818 pts/2    Ss+    0:00 -/bin/bash
 3012 ?        Ss     0:00 /usr/lib/bluetooth/obexd
 3550 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
 3960 ?        Ss     0:00 /usr/sbin/uuidd --socket-activation
 4553 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
 6221 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
 6503 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
 6969 ?        I      0:02 [kworker/u8:0-ev]
 7010 ?        I      0:01 [kworker/u8:1-rp]
 7040 ?        I<     0:00 [kworker/u9:0-xp]
 7099 ?        I      0:01 [kworker/u8:2-rp]
 7102 ?        I      0:00 [kworker/1:1-eve]
 7105 ?        I<     0:00 [kworker/u9:2-xp]
 7153 ?        I      0:01 [kworker/u8:5-rp]
 7264 ?        I      0:00 [kworker/2:1-eve]
 7276 ?        I      0:00 [kworker/3:1-eve]
 7396 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
 7475 ?        I<     0:00 [kworker/u9:1-xp]
 7801 ?        I      0:00 [kworker/0:2-eve]
 7822 ?        Sl     0:30 /usr/bin/nautilus --gapplication-service
 7846 ?        D      0:00 [192.168.1.106-m]
 8020 pts/3    S+     0:01 vi exec_ps.c
 8033 ?        I      0:00 [kworker/u8:3-i9]
 8159 ?        S<     0:00 [loop10]
 8251 ?        I      0:00 [kworker/2:0-eve]
 8693 pts/0    R+     0:00 ps ax
 9743 ?        S      0:00 dbus-launch --autolaunch=9b554bfd2efe4824bb44382170c3da52 --binary-syntax --close-stderr
 9744 ?        Ss     0:00 /usr/bin/dbus-daemon --syslog-only --fork --print-pid 5 --print-address 7 --session
 9747 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 9840 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-http --spawner :1.24 /org/gtk/gvfs/exec_spaw/1
10379 ?        Ss     0:00 /usr/sbin/vsftpd /etc/vsftpd.conf
10644 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
12348 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
12684 tty2     S+     0:00 /bin/sh /usr/lib/update-notifier/package-system-locked
12687 tty2     D+     0:21 fuser /var/lib/dpkg/lock
12887 ?        S<     0:00 [loop11]
12964 ?        S<     0:00 [loop12]
13068 ?        S<     0:00 [loop13]
13172 ?        S<     0:00 [loop14]
13270 ?        S<     0:00 [loop15]
13376 ?        S<     0:00 [loop16]
14095 ?        Ss     0:01 /sbin/rpcbind -f -w
14184 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
14449 ?        I<     0:00 [rpciod]
14450 ?        I<     0:00 [xprtiod]
15566 tty2     SLl+   0:26 ss-qt5
15823 ?        Ss     0:00 /usr/sbin/rpc.idmapd
15824 ?        Ss     0:00 /usr/sbin/rpc.mountd --manage-gids
15827 ?        S      0:00 [lockd]
15829 ?        S      0:00 [nfsd]
15830 ?        S      0:00 [nfsd]
15831 ?        S      0:00 [nfsd]
15832 ?        S      0:00 [nfsd]
15833 ?        S      0:00 [nfsd]
15834 ?        S      0:00 [nfsd]
15835 ?        S      0:00 [nfsd]
15836 ?        S      0:00 [nfsd]
15863 ?        I<     0:00 [nfsiod]
15872 ?        S      0:00 [NFSv4 callback]
17526 ?        Ss     0:00 /usr/sbin/sshd -D
17614 ?        S      0:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
18060 pts/1    Ss+    0:00 -/bin/bash
18469 ?        S<     0:00 [loop17]
18526 ?        Ssl    0:21 /usr/lib/snapd/snapd
19802 ?        I      5:44 [kworker/3:0-mm_]
20399 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
20582 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
20635 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
20640 ?        I      6:05 [kworker/2:6-eve]
21330 ?        Ss     0:00 /usr/sbin/anacron -dsq
21349 ?        S      0:00 /bin/sh -c run-parts --report /etc/cron.daily
21350 ?        S      0:00 run-parts --report /etc/cron.daily
21400 ?        Ss     0:00 /usr/sbin/cupsd -l
21401 ?        Ssl    0:00 /usr/sbin/cups-browsed
21413 ?        S      0:00 /bin/bash /etc/cron.daily/mlocate
21419 ?        S      0:00 flock --nonblock /run/mlocate.daily.lock /usr/bin/ionice -c3 /usr/bin/updatedb.mlocate
21420 ?        D      0:10 /usr/bin/updatedb.mlocate
21688 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-network --spawner :1.24 /org/gtk/gvfs/exec_spaw/3
21708 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-dnssd --spawner :1.24 /org/gtk/gvfs/exec_spaw/6
21838 tty2     Sl+    7:09 /usr/bin/python /usr/bin/x-terminal-emulator
23341 ?        I      6:04 [kworker/1:3-mm_]
28054 ?        I      3:30 [kworker/0:1-mm_]
29638 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
29990 ?        S      0:00 [scsi_eh_7]
29991 ?        I<     0:00 [scsi_tmf_7]
30170 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
30677 ?        Sl     0:00 /usr/lib/dconf/dconf-service
31068 pts/0    Ss     0:00 -/bin/bash
31219 pts/3    Ss     0:00 -/bin/bash
32722 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
